Video_ID,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,cluster,View Count,Like Count,Comment Count
b2BiKjTyqII,1.596666666666667,0.0866666666666666,0.7999999999999999,0.2533333333333333,0.6233333333333334,0.6633333333333334,0.5233333333333333,1.1866666666666668,0.63,1.49,0.3333333333333333,0.0066666666666666,0.5766666666666667,0.04,0.82,0.7866666666666666,0.0733333333333333,1,282431,9203,361
b2OS-bv_9ts,0.94,0.0,0.0,2.06,0.0,0.0,0.0,0.0,0.0,0.0,1.23,2.11,0.0,0.16,0.0,1.08,0.0,1,42913,1603,293
b4lIezLc0ZY,1.05,0.0,1.21,1.21,0.0,3.4,0.0,0.0,0.0,0.0,1.2,0.26,0.0,0.0,0.87,0.0,0.14,1,14864,461,84
b6qUzEN6--g,0.0,0.0,2.2,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.32,0.0,1,142660,5077,165
b9oguyK0IPQ,1.365,0.94,0.87,0.5249999999999999,2.365,1.94,1.095,2.29,2.395,1.075,0.0,0.0,0.155,0.0,2.135,0.785,0.015,0,21991,683,73
bAn0qP3BHcI,1.1775,0.055,0.5925,0.3875,1.34,0.0425,0.33,0.9125,1.295,1.0175,0.155,0.0875,1.2174999999999998,0.1124999999999999,1.1625,0.065,0.11,1,601,16,4
bDhhBLga2I0,0.0,0.0,0.215,0.92,0.7799999999999999,1.95,0.055,1.52,1.58,0.305,0.26,0.0,0.275,0.29,1.24,1.505,0.0,0,47458,991,60
bGpXVxq_7iU,0.8859999999999999,0.1,0.0,0.364,1.174,0.836,0.208,0.65,1.146,0.6,0.104,0.098,0.714,0.176,0.492,0.0,0.36,1,276334,22111,437
bH_TiXuz5ng,0.4,0.0,1.105,0.545,1.545,0.765,0.105,1.7399999999999998,2.51,0.78,0.0,0.0,0.5900000000000001,0.0,2.695,0.0,0.595,0,65281,2371,182
bHa9LfG38bA,0.355,0.0,0.155,0.1825,1.6625,0.87,0.3075,1.685,2.2225,1.05,0.0275,0.0,0.545,0.06,1.9575,0.4825,0.21,0,332340,11313,455
bJyXT6HK7Us,1.17,0.2466666666666666,0.3633333333333333,0.8533333333333334,0.1866666666666666,0.3333333333333333,0.4266666666666667,0.7866666666666667,0.5066666666666667,0.5766666666666667,1.6833333333333331,1.1333333333333333,0.0,1.6666666666666667,1.2100000000000002,1.88,0.0,1,44829,1846,201
bKCr62Dk7Us,2.42,2.17,0.0,3.59,0.0,0.59,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,2,31780,1344,147
bPUI6knEB7w,0.6699999999999999,0.0,0.28,1.27,0.6366666666666667,0.4866666666666666,0.42,0.7966666666666667,0.17,0.8266666666666667,1.7233333333333334,1.2033333333333334,1.0,0.82,0.6166666666666667,0.3433333333333333,0.0,1,40952,1786,135
bQdfoCTjU7E,1.4233333333333331,0.1566666666666666,0.2833333333333333,0.15,0.3666666666666667,1.0266666666666666,0.4666666666666666,1.58,0.7733333333333333,1.0433333333333332,0.5666666666666667,0.2733333333333334,0.61,0.0,1.7933333333333337,0.6633333333333333,0.2066666666666666,1,508166,23239,3829
bRLJhD0Js5U,1.18,0.94,0.18,0.345,0.73,1.4449999999999998,0.405,1.375,0.245,0.79,0.5900000000000001,0.82,1.14,0.28,0.48,1.025,0.0,1,23777,908,154
bSaPw3r8lkc,0.5266666666666667,0.2333333333333333,0.2666666666666666,0.24,0.5766666666666667,1.0799999999999998,0.32,0.8366666666666666,0.4266666666666667,0.8300000000000001,0.06,0.29,0.6900000000000001,0.1733333333333333,0.58,0.3799999999999999,0.2866666666666667,1,733419,25439,1531
bTLMJvuPbZc,1.92,2.51,0.0,3.19,0.57,1.95,0.0,2.07,2.14,0.94,0.37,0.0,0.62,0.33,1.95,0.0,0.0,2,331,39,32
baIR7eMg5Ug,0.0,0.0,0.56,0.0,2.15,2.62,0.6,2.03,2.29,1.92,0.0,0.0,0.09,0.33,1.59,0.0,0.0,0,5152,569,104
bbHLfaq8LzQ,1.645,1.065,0.825,1.13,0.0,0.0,0.345,0.075,0.0,0.0,0.33,0.785,0.465,0.155,1.03,1.45,0.685,2,125857,5993,498
bbkUGFFjX_c,0.0,0.0,0.86,0.0,1.455,2.12,0.6,0.89,1.335,0.6,0.33,0.825,1.25,0.22,0.6699999999999999,0.8300000000000001,0.0,0,110,25,6
bfn9tndD9iM,2.48,1.67,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.9,0.07,0.0,2,6884,446,42
biJBN1vOIDA,0.725,0.52,0.0,2.76,0.865,0.69,0.0,1.345,1.585,0.16,0.0,0.0,0.085,0.19,1.215,0.255,0.0,2,5311,305,35
bj4tLSZnIqM,1.3,2.62,0.0,2.67,0.74,2.2,1.44,1.83,1.81,1.25,1.36,0.0,0.0,3.63,4.77,1.65,0.0,2,232319,9023,1768
bkjKixwujk0,2.74,1.53,0.4,1.01,0.69,0.7,0.0,1.82,1.16,0.0,0.0,0.0,1.09,0.0,2.26,2.33,0.19,2,8153,683,83
bqO6iZcLrv4,0.1399999999999999,0.0,0.0,0.775,1.175,2.47,0.28,1.205,1.595,1.21,0.025,0.0,0.045,0.04,1.89,0.945,0.0,0,1327804,8576,543
bsTb5vMw1dQ,1.27,0.8600000000000001,0.11,1.23,0.47,2.46,0.92,0.74,0.62,0.8400000000000001,1.085,0.8049999999999999,0.37,0.575,0.49,0.0,0.155,1,39426,1155,220
btEYK52Dwsc,0.53,0.0,0.915,0.0,2.105,2.54,0.765,2.26,2.035,0.735,0.36,0.285,0.875,0.0,1.855,0.77,0.8150000000000001,0,1682,61,8
bwQ1ifGRKGY,1.01,0.49,0.6733333333333333,0.0333333333333333,0.65,0.4133333333333333,0.5366666666666667,1.11,1.1,0.21,0.0,0.0,0.2633333333333333,0.0,2.4166666666666665,0.66,0.7733333333333333,1,202995,6783,120
bwp3C1HRCzk,0.5377777777777778,0.1944444444444444,1.002222222222222,0.3822222222222222,0.7344444444444445,0.96,0.5855555555555556,0.5011111111111111,0.6244444444444445,0.9233333333333332,0.5466666666666666,1.0844444444444443,0.7755555555555556,0.26,0.5055555555555555,0.5211111111111111,0.4944444444444444,1,83769,3234,555
bxU3BHbt4ZY,0.37,0.05,0.0,0.22,1.68,2.29,0.0,1.45,1.65,0.64,1.17,0.97,2.98,0.0,1.54,1.69,0.61,0,675363,21588,1442
by4HzfWRbT4,0.92,0.0,1.68,0.0,2.4,2.06,1.14,1.74,1.59,1.67,0.0,0.02,0.0,0.54,0.2,0.0,0.2,0,4089,116,45
byOqHHUBlVg,1.48,2.24,0.98,1.48,0.97,0.51,0.92,0.84,1.04,1.62,0.32,0.0,0.33,0.0,2.2,0.46,0.0,2,16172,998,17
bzjxxzxdeuM,1.3166666666666669,1.58,0.6733333333333333,1.21,0.5066666666666667,0.0,0.3366666666666666,0.8466666666666667,0.2533333333333333,0.7733333333333333,0.0,0.1733333333333333,0.3433333333333333,0.11,0.6633333333333333,1.1900000000000002,0.2366666666666666,2,54157,3672,200
c-fijV9L28k,0.7175,0.0,0.0575,0.6950000000000001,1.505,0.7575,0.4525,0.88,1.3,1.725,0.4449999999999999,0.6275,1.39,0.2925,0.91,0.7475,0.125,0,1378,98,33
c12zRnFUTdo,1.23,1.97,0.0,2.29,0.22,0.58,0.03,1.46,0.81,0.51,0.06,0.59,0.0,0.0,2.04,1.56,0.0,2,4117080,71624,7183
c185R3zpFQk,0.4966666666666666,0.7833333333333333,0.26,0.6622222222222223,0.1288888888888889,0.8666666666666667,0.1277777777777777,0.4322222222222222,0.3355555555555555,0.0,0.5133333333333333,0.1744444444444444,0.5266666666666667,0.0188888888888888,0.7666666666666667,0.7377777777777778,0.0733333333333333,1,31260,622,49
c4kMjhSt73k,0.0,0.0,0.0,0.0,1.7799999999999998,2.865,0.465,1.705,2.705,0.855,0.03,0.0,0.025,0.0,1.78,0.1,0.0,0,25840,1018,495
c64OjV9lNvw,1.413333333333333,0.3733333333333333,0.5966666666666667,0.4966666666666666,0.6766666666666666,1.1133333333333333,0.3166666666666666,0.0,0.6033333333333334,0.2366666666666666,0.0,0.01,0.1233333333333333,0.0533333333333333,0.6066666666666667,0.0333333333333333,0.49,1,374348,17554,2122
cANij8_TIdI,2.11,1.23,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.46,0.67,0.0,0.0,0.0,1.81,2.28,0.0,2,6748,227,29
cBXHIQdKWBM,0.41,0.0,0.27,0.0,2.145,2.02,0.375,1.235,1.585,0.695,0.02,0.0,0.33,0.0,2.48,0.38,0.0,0,17562,242,68
cCGGFF_fq8k,0.5599999999999999,0.2114285714285714,0.6985714285714286,0.7485714285714286,0.5257142857142857,0.7242857142857143,0.6442857142857142,0.6014285714285714,0.65,0.8899999999999999,0.0957142857142857,0.0042857142857142,0.38,0.0257142857142857,0.5142857142857143,0.4957142857142856,0.09,1,15017,440,40
cDa3rn2haL4,0.57,0.52,0.2133333333333333,1.5700000000000005,0.0,0.0,0.0466666666666666,0.0866666666666666,0.1033333333333333,0.0,0.2799999999999999,0.0,0.0933333333333333,0.1399999999999999,0.3066666666666667,0.2266666666666666,0.0066666666666666,1,22637,1096,54
cDaBzBo6JOU,1.54,0.74,0.34,1.37,0.41,1.97,0.75,1.54,1.67,1.55,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,13854,510,100
cDfcwMk03SU,0.0,0.0,0.0,0.04,1.77,0.99,1.69,2.94,1.89,1.7,0.51,0.0,0.63,0.0,3.32,0.41,0.42,0,1736359,72198,2229
cFSIBImwMR0,1.71,0.0,0.0,0.95,1.11,0.0,0.35,0.9,2.0,2.65,0.08,0.18,2.66,0.15,1.69,0.0,0.28,0,393007,7817,247
